English,French,German,Arabic,Chinese
"No Labels reaches out to a former GOP presidential candidate regarding their pending third-party ticket, Christie says in a podcast interview that 'I wouldn’t preclude anything at this point' when it comes to a possible third-party White House run","« No Labels contacte un ancien candidat républicain à la présidence concernant leur ticket tiers en attente, Christie déclare dans une interview de podcast qu'« à ce stade, je n'exclurais rien » en ce qui concerne une possible candidature à la Maison-Blanche en tant que tiers parti. »","„No Labels wendet sich an einen ehemaligen GOP-Präsidentschaftskandidaten bezüglich ihres bevorstehenden Drittparteitickets, Christie sagt in einem Podcast-Interview, dass er ‚zu diesem Zeitpunkt nichts ausschließen würde‘, wenn es um einen möglichen Drittparteikandidaten für das Weiße Haus geht.“","""مجموعة 'نو ليبلز' تتواصل مع مرشح رئاسي سابق من الحزب الجمهوري بشأن تذكرتهم المحتملة للحزب الثالث، ويقول كريستي في مقابلة بودكاست: 'لن أستبعد أي شيء في هذه المرحلة' فيما يتعلق بإمكانية الترشح للرئاسة عن طريق حزب ثالث""",“无党派组织接触前共和党总统候选人，讨论其待定的第三方竞选事宜，克里斯蒂在播客采访中表示，‘在可能的第三方总统竞选方面，我目前不会排除任何可能性’。”
"Trump sweeps March 19 Republican presidential primaries, Biden-Trump November showdown is the first presidential election rematch since 1956","""Trump remporte les primaires présidentielles républicaines du 19 mars, le face-à-face Biden-Trump de novembre est la première revanche électorale présidentielle depuis 1956""","""Trump gewinnt die republikanischen Vorwahlen am 19. März, Biden-Trump-Duell im November ist das erste Präsidentschaftswahl-Rematch seit 1956.""","""ترامب يكتسح الانتخابات التمهيدية للحزب الجمهوري في 19 مارس، ومواجهة بايدن-ترامب في نوفمبر هي أول إعادة انتخاب رئاسية منذ عام 1956""",特朗普横扫3月19日共和党总统初选，拜登与特朗普11月对决将成为自1956年以来的首次总统选举重赛。
"Trump's endorsements hailed as 'most powerful...in modern political history' after victories in OH, IL, CA. Former President Trump helps boost Bernie Moreno to victory in an Ohio GOP Senate primary that pitted MAGA Republicans versus traditional conservatives","Les soutiens de Trump salués comme « les plus puissants... de l'histoire politique moderne » après des victoires dans l'OH, l'IL, la CA. L'ancien président Trump aide Bernie Moreno à remporter une victoire lors d'une primaire républicaine pour le Sénat dans l'Ohio, opposant les républicains MAGA aux conservateurs traditionnels.","„Trumps Unterstützungen als ‚mächtigste... in der modernen politischen Geschichte‘ gefeiert nach Siegen in OH, IL, CA. Der ehemalige Präsident Trump verhilft Bernie Moreno zum Sieg in einer republikanischen Vorwahl für den Senat in Ohio, die MAGA-Republikaner gegen traditionelle Konservative ausspielte.“","""الإشادات بتأييدات ترامب تُعتبر 'الأقوى في التاريخ السياسي الحديث' بعد الانتصارات في أوهايو، إلينوي، وكاليفورنيا. الرئيس السابق ترامب يساعد في تعزيز فوز بيرني مورينو في الانتخابات التمهيدية للحزب الجمهوري في أوهايو، التي شهدت مواجهة بين الجمهوريين المؤيدين لترامب والمحافظين التقليديين.""",特朗普的背书被誉为“现代政治史上最强大”——在俄亥俄、伊利诺伊和加州获胜后。前总统特朗普帮助伯尼·莫雷诺在俄亥俄州共和党参议院初选中获胜，该初选将MAGA共和党人与传统保守派对立。
Trump says Jewish Americans who vote for Biden don’t love Israel and ‘should be spoken to’,"""Trump déclare que les Américains juifs qui votent pour Biden n'aiment pas Israël et 'devraient être interpellés'""","""Trump sagt, dass jüdische Amerikaner, die für Biden stimmen, Israel nicht lieben und 'angesprochen werden sollten'""","ترامب يقول إن الأمريكيين اليهود الذين يصوتون لبايدن لا يحبون إسرائيل و""يجب التحدث إليهم""",特朗普称投票给拜登的美国犹太人不爱以色列，“应该被谈话”
Elizabeth Warren suggests Israel’s actions in Gaza could be ruled as a genocide by international courts,"""Elizabeth Warren suggère que les actions d'Israël à Gaza pourraient être qualifiées de génocide par les tribunaux internationaux""","""Elizabeth Warren schlägt vor, dass die Handlungen Israels im Gazastreifen von internationalen Gerichten als Völkermord eingestuft werden könnten.""",إليزابيث وارن تشير إلى أن أفعال إسرائيل في غزة يمكن أن تُعتبر إبادة جماعية من قبل المحاكم الدولية,伊丽莎白·沃伦表示，以色列在加沙的行动可能会被国际法庭裁定为种族灭绝。
"FBI arrests man who allegedly pledged allegiance to ISIS and planned attacks on Idaho churches, DOJ says","""Le FBI arrête un homme qui aurait prêté allégeance à l'État islamique et planifié des attaques contre des églises de l'Idaho, selon le ministère de la Justice.""","""FBI verhaftet Mann, der angeblich ISIS die Treue geschworen und Angriffe auf Kirchen in Idaho geplant hat, sagt das Justizministerium.""","""وزارة العدل الأمريكية تقول إن مكتب التحقيقات الفيدرالي يعتقل رجلاً يُزعم أنه بايع داعش وخطط لهجمات على كنائس في أيداهو""",美国司法部称，联邦调查局逮捕了一名涉嫌宣誓效忠ISIS并计划袭击爱达荷州教堂的男子。
Special counsel Jack Smith urges Supreme Court to reject Trump’s claim of immunity,"""Le procureur spécial Jack Smith exhorte la Cour suprême à rejeter la demande d'immunité de Trump""","""Sonderermittler Jack Smith drängt den Obersten Gerichtshof, Trumps Anspruch auf Immunität abzulehnen.""",المستشار الخاص جاك سميث يحث المحكمة العليا على رفض ادعاء ترامب بالحصانة,特别检察官杰克·史密斯敦促最高法院驳回特朗普的豁免权主张。
"British Foreign Secretary David Cameron meets with Trump ahead of DC visit, Tue April 9, 2024","""Le ministre britannique des Affaires étrangères, David Cameron, rencontre Trump avant sa visite à Washington, mardi 9 avril 2024""","""Der britische Außenminister David Cameron trifft sich mit Trump vor dem Besuch in Washington, Dienstag, 9. April 2024.""","""وزير الخارجية البريطاني ديفيد كاميرون يلتقي بترامب قبل زيارته لواشنطن العاصمة، الثلاثاء 9 أبريل 2024""","""英国外交大臣戴维·卡梅伦在访问华盛顿特区前会见特朗普，2024年4月9日星期二"""
Judge denies Trump’s request to postpone trial and consider venue change in hush money case,"""Le juge rejette la demande de Trump de reporter le procès et d'envisager un changement de lieu dans l'affaire des paiements dissimulés""","""Richter lehnt Trumps Antrag ab, den Prozess zu verschieben und den Gerichtsstand im Schweigegeldfall zu ändern.""",القاضي يرفض طلب ترامب بتأجيل المحاكمة والنظر في تغيير مكان القضية المتعلقة بأموال الصمت.,法官拒绝特朗普推迟审判并考虑更改封口费案审理地点的请求。
"Byron Donalds, potential VP pick, once attacked Trump and praised outsourcing, privatizing entitlements","""Byron Donalds, potentiel choix pour la vice-présidence, a autrefois attaqué Trump et loué la délocalisation ainsi que la privatisation des droits sociaux""","""Byron Donalds, potenzieller Vizepräsidentschaftskandidat, griff einst Trump an und lobte Outsourcing sowie die Privatisierung von Sozialleistungen.""","""بايرون دونالدز، المرشح المحتمل لمنصب نائب الرئيس، هاجم ترامب في السابق وأشاد بالاستعانة بمصادر خارجية وخصخصة الاستحقاقات""",拜伦·唐纳兹，潜在的副总统人选，曾攻击特朗普并赞扬外包和私有化福利。
"GOP nominee to run North Carolina public schools called for violence against Democrats, including executing Obama and Biden","Le candidat républicain pour diriger les écoles publiques de Caroline du Nord a appelé à la violence contre les démocrates, y compris l'exécution d'Obama et de Biden.","""Der GOP-Kandidat für die Leitung der öffentlichen Schulen in North Carolina forderte Gewalt gegen Demokraten, einschließlich der Hinrichtung von Obama und Biden.""","""مرشح الحزب الجمهوري لإدارة المدارس العامة في كارولاينا الشمالية دعا إلى العنف ضد الديمقراطيين، بما في ذلك إعدام أوباما وبايدن""",共和党提名人竞选北卡罗来纳州公立学校，曾呼吁对民主党人施暴，包括处决奥巴马和拜登。
Joe Biden promised to ‘absorb’ 2 million asylum seekers ‘in a heartbeat’ in 2019 - he now faces an immigration crisis,Joe Biden a promis d'« accueillir » 2 millions de demandeurs d'asile « en un clin d'œil » en 2019 - il fait maintenant face à une crise migratoire.,"""Joe Biden versprach 2019, 2 Millionen Asylsuchende 'im Handumdrehen' aufzunehmen - jetzt steht er vor einer Einwanderungskrise.""","جو بايدن وعد بـ ""استيعاب"" مليوني طالب لجوء ""في لمح البصر"" في عام 2019 - وهو الآن يواجه أزمة هجرة.",乔·拜登在2019年承诺“立即”接纳200万寻求庇护者——他现在面临移民危机。
Likely frontrunner for RNC chair parroted Trump’s 2020 election lies,"""Le favori probable pour la présidence du RNC a répété les mensonges de Trump sur l'élection de 2020""","""Voraussichtlicher Spitzenkandidat für den RNC-Vorsitz wiederholte Trumps Lügen über die Wahl 2020.""","""المرشح الأوفر حظاً لرئاسة اللجنة الوطنية الجمهورية كرر أكاذيب ترامب بشأن انتخابات 2020""",“共和党全国委员会主席的可能领跑者重复了特朗普关于2020年选举的谎言”
Ohio GOP Senate candidate endorsed by Trump deleted tweets critical of the former president,"""Candidat républicain au Sénat de l'Ohio soutenu par Trump a supprimé des tweets critiques envers l'ancien président""","""Vom ehemaligen Präsidenten Trump unterstützter republikanischer Senatskandidat aus Ohio hat kritische Tweets gelöscht.""","""مرشح مجلس الشيوخ الجمهوري في أوهايو الذي أيده ترامب حذف تغريدات تنتقد الرئيس السابق""",“获得特朗普支持的俄亥俄州共和党参议员候选人删除了批评前总统的推文”
"Trump defends former influencer convicted of election interference who has racist, antisemitic past","""Trump défend un ancien influenceur condamné pour ingérence électorale ayant un passé raciste et antisémite""","""Trump verteidigt ehemaligen Influencer, der wegen Wahlbeeinflussung verurteilt wurde und eine rassistische, antisemitische Vergangenheit hat.""","""ترامب يدافع عن مؤثر سابق مدان بالتدخل في الانتخابات وله ماضٍ عنصري ومعادٍ للسامية""",特朗普为被判选举干预罪的前网红辩护，此人有种族主义和反犹太主义的历史。
"Biden Campaign Ad Blames Trump for Near-Death of Woman Who Was Denied Abortion, The ad encapsulates the strategy by the president’s campaign to seize on anger about the Supreme Court’s 2022 decision to overturn Roe v. Wade.","""Une publicité de campagne de Biden accuse Trump de la quasi-mort d'une femme à qui l'avortement a été refusé. La publicité résume la stratégie de la campagne du président pour exploiter la colère suscitée par la décision de la Cour suprême de 2022 d'annuler Roe v. Wade.""","""Biden-Wahlkampfwerbung gibt Trump die Schuld am Beinahe-Tod einer Frau, der eine Abtreibung verweigert wurde. Die Anzeige fasst die Strategie der Kampagne des Präsidenten zusammen, die Wut über die Entscheidung des Obersten Gerichtshofs von 2022, Roe v. Wade aufzuheben, zu nutzen.""",إعلان حملة بايدن يلوم ترامب على اقتراب وفاة امرأة حُرمت من الإجهاض، الإعلان يجسد استراتيجية حملة الرئيس للاستفادة من الغضب بشأن قرار المحكمة العليا في عام 2022 بإلغاء قضية رو ضد ويد.,拜登竞选广告指责特朗普导致一名被拒绝堕胎的女性濒临死亡，该广告体现了总统竞选团队利用对最高法院2022年推翻罗诉韦德案决定的愤怒的策略。
"Biden and Other Democrats Tie Trump to Limits on Abortion Rights, The former president said he supported leaving abortion decisions to states, but political opponents say he bears responsibility for any curbs enacted.","""Biden et d'autres démocrates lient Trump aux restrictions sur les droits à l'avortement. L'ancien président a déclaré qu'il soutenait le fait de laisser les décisions sur l'avortement aux États, mais ses opposants politiques affirment qu'il est responsable de toute limitation mise en place.""","""Biden und andere Demokraten bringen Trump mit Einschränkungen der Abtreibungsrechte in Verbindung. Der ehemalige Präsident sagte, er unterstütze es, Abtreibungsentscheidungen den Bundesstaaten zu überlassen, aber politische Gegner sagen, er trage die Verantwortung für jegliche eingeführten Beschränkungen.""",بايدن وديمقراطيون آخرون يربطون ترامب بالقيود على حقوق الإجهاض، الرئيس السابق قال إنه يدعم ترك قرارات الإجهاض للولايات، لكن الخصوم السياسيين يقولون إنه يتحمل المسؤولية عن أي قيود تم فرضها.,拜登和其他民主党人将特朗普与限制堕胎权联系在一起，前总统表示支持将堕胎决定留给各州，但政治对手称他对实施的任何限制负有责任。
"Trump Allies Have a Plan to Hurt Biden’s Chances: Elevate Outsider Candidates, The more candidates in the race, the better for Donald J. Trump, supporters say. And in a tight presidential contest, a small share of voters could change the result.","Les alliés de Trump ont un plan pour nuire aux chances de Biden : promouvoir des candidats outsiders. Plus il y a de candidats en lice, mieux c'est pour Donald J. Trump, disent ses partisans. Et dans une élection présidentielle serrée, une petite part d'électeurs pourrait changer le résultat.","""Trumps Verbündete haben einen Plan, um Bidens Chancen zu schmälern: Außenseiterkandidaten fördern. Je mehr Kandidaten im Rennen sind, desto besser für Donald J. Trump, sagen Unterstützer. Und in einem knappen Präsidentschaftswettbewerb könnte ein kleiner Anteil der Wähler das Ergebnis verändern.""",حلفاء ترامب لديهم خطة لإضعاف فرص بايدن: تعزيز المرشحين الخارجيين. يقول المؤيدون إن زيادة عدد المرشحين في السباق تصب في مصلحة دونالد ج. ترامب. وفي انتخابات رئاسية متقاربة، يمكن لنسبة صغيرة من الناخبين تغيير النتيجة.,特朗普的盟友有一个计划来削弱拜登的机会：提升局外候选人。支持者表示，竞选中的候选人越多，对唐纳德·J·特朗普越有利。在激烈的总统竞选中，少量选民的选择可能会改变结果。
"Biden touts proposed spending on ‘care economy’, President Biden announces a new plan for federal student loan relief during a visit to Madison, Wis., on Monday. (Kevin Lamarque/Reuters)","""Biden vante les dépenses proposées pour l'« économie des soins », le président Biden annonce un nouveau plan de soulagement des prêts étudiants fédéraux lors d'une visite à Madison, dans le Wisconsin, lundi. (Kevin Lamarque/Reuters)""","""Biden preist vorgeschlagene Ausgaben für die ‚Pflegewirtschaft‘ an, Präsident Biden kündigt während eines Besuchs in Madison, Wis., am Montag einen neuen Plan zur Entlastung von Bundesschulden für Studenten an. (Kevin Lamarque/Reuters)""","""بايدن يروج للإنفاق المقترح على 'اقتصاد الرعاية'، الرئيس بايدن يعلن عن خطة جديدة لتخفيف قروض الطلاب الفيدرالية خلال زيارة إلى ماديسون، ويسكونسن، يوم الاثنين. (كيفن لامارك/رويترز)""",拜登宣传“关怀经济”支出提案，总统拜登周一在威斯康星州麦迪逊访问期间宣布了一项新的联邦学生贷款减免计划。（Kevin Lamarque/路透社）
"Biden and Trump share a faith in import tariffs, despite inflation risks, Both candidates’ trade plans focus on tariffs on imported Chinese goods even as economists warn they could lead to higher prices.","""Biden et Trump partagent une foi dans les tarifs d'importation, malgré les risques d'inflation. Les plans commerciaux des deux candidats se concentrent sur les tarifs sur les biens importés de Chine, même si les économistes avertissent qu'ils pourraient entraîner une hausse des prix.""","""Biden und Trump teilen den Glauben an Importzölle, trotz Inflationsrisiken. Die Handelspläne beider Kandidaten konzentrieren sich auf Zölle auf importierte chinesische Waren, obwohl Ökonomen warnen, dass diese zu höheren Preisen führen könnten.""","""بايدن وترامب يشتركان في الإيمان بالتعريفات الجمركية على الواردات، رغم مخاطر التضخم، تركز خطط التجارة لكلا المرشحين على التعريفات الجمركية على السلع الصينية المستوردة حتى مع تحذير الاقتصاديين من أنها قد تؤدي إلى ارتفاع الأسعار.""",拜登和特朗普都对进口关税有信心，尽管存在通胀风险。两位候选人的贸易计划都集中在对进口中国商品征收关税，尽管经济学家警告这可能导致价格上涨。
"Biden, as president and patriarch, confronts his son’s trial, Hunter Biden’s trial begins Monday on charges of lying on an official form when he bought a gun in 2018.","""Biden, en tant que président et patriarche, fait face au procès de son fils : le procès de Hunter Biden commence lundi pour des accusations de mensonge sur un formulaire officiel lors de l'achat d'une arme en 2018.""","""Biden, als Präsident und Patriarch, sieht sich dem Prozess seines Sohnes gegenüber: Der Prozess gegen Hunter Biden beginnt am Montag wegen des Vorwurfs, bei einem Waffenkauf im Jahr 2018 auf einem offiziellen Formular gelogen zu haben.""","""بايدن، كرئيس وبطريرك، يواجه محاكمة ابنه، تبدأ محاكمة هانتر بايدن يوم الاثنين بتهم الكذب في استمارة رسمية عندما اشترى سلاحًا في عام 2018.""",拜登作为总统和家长，面临儿子审判，亨特·拜登的审判将于周一开始，指控他在2018年购买枪支时在官方表格上撒谎。
"Here’s what to know about the Hunter Biden trial that starts Monday, President Biden’s son Hunter is charged in federal court in Delaware with making false statements while buying a gun and illegally possessing that gun.","Voici ce qu'il faut savoir sur le procès de Hunter Biden qui commence lundi : le fils du président Biden, Hunter, est accusé devant un tribunal fédéral du Delaware d'avoir fait de fausses déclarations lors de l'achat d'une arme à feu et de possession illégale de cette arme.","""Das sollten Sie über den Hunter-Biden-Prozess wissen, der am Montag beginnt: Präsident Bidens Sohn Hunter wird vor einem Bundesgericht in Delaware angeklagt, falsche Angaben beim Kauf einer Waffe gemacht und diese illegal besessen zu haben.""",إليك ما يجب معرفته عن محاكمة هانتر بايدن التي تبدأ يوم الاثنين، حيث يُتهم هانتر، نجل الرئيس بايدن، في محكمة فدرالية في ديلاوير بتقديم بيانات كاذبة أثناء شراء سلاح وحيازة هذا السلاح بشكل غير قانوني.,以下是关于亨特·拜登审判的要点，该审判将于周一开始。总统拜登的儿子亨特在特拉华州联邦法院被指控在购买枪支时作出虚假陈述并非法持有该枪支。
"Trump falsely claims he never called for Hillary Clinton to be locked up, “Lock her up” is perhaps one of the most popular chants among Trump supporters, and he agreed with it or explicitly called for her jailing on several occasions.","""Trump affirme à tort qu'il n'a jamais demandé qu'Hillary Clinton soit emprisonnée, « Enfermez-la » est peut-être l'un des slogans les plus populaires parmi les partisans de Trump, et il l'a approuvé ou a explicitement demandé son emprisonnement à plusieurs reprises.""","""Trump behauptet fälschlicherweise, er habe nie gefordert, Hillary Clinton einzusperren. „Sperrt sie ein“ ist vielleicht einer der beliebtesten Rufe unter Trump-Anhängern, und er stimmte dem zu oder forderte ihre Inhaftierung ausdrücklich bei mehreren Gelegenheiten.""","""ترامب يدعي زوراً أنه لم يطالب أبداً بسجن هيلاري كلينتون، و""اسجنوها"" ربما يكون أحد أكثر الهتافات شعبية بين مؤيدي ترامب، وقد وافق عليه أو دعا صراحة لسجنها في عدة مناسبات.""",特朗普虚假声称他从未要求希拉里·克林顿被关押，“把她关起来”可能是特朗普支持者中最流行的口号之一，他曾多次表示同意或明确要求将她监禁。
"4 takeaways from the aftermath of Trump’s guilty verdict, The country has entered a fraught phase. It’s already getting ugly, and that shows no sign of ceasing.","""4 enseignements à tirer des conséquences du verdict de culpabilité de Trump : Le pays est entré dans une phase délicate. Cela devient déjà laid, et cela ne montre aucun signe d'arrêt.""","""4 Erkenntnisse aus den Folgen des Schuldspruchs gegen Trump: Das Land ist in eine heikle Phase eingetreten. Es wird bereits hässlich, und es gibt keine Anzeichen dafür, dass es aufhört.""",٤ نقاط رئيسية من تداعيات حكم إدانة ترامب: البلاد دخلت مرحلة مضطربة. الأمور تزداد سوءًا بالفعل، ولا يبدو أن ذلك سيتوقف.,特朗普有罪判决后的4个启示：国家进入了一个充满争议的阶段。局势已经变得丑陋，而且没有停止的迹象。
"Trump and allies step up suggestions of rigged trial — with bad evidence, And it’s not just the false claim that the jury doesn’t need to be unanimous about his crimes.","""Trump et ses alliés intensifient les suggestions de procès truqué — avec de mauvaises preuves, et ce n'est pas seulement la fausse affirmation selon laquelle le jury n'a pas besoin d'être unanime à propos de ses crimes.""","""Trump und seine Verbündeten verstärken die Behauptungen eines manipulierten Prozesses – mit schlechten Beweisen. Und es ist nicht nur die falsche Behauptung, dass die Jury bei seinen Verbrechen nicht einstimmig sein muss.""","""ترامب وحلفاؤه يكثفون الإيحاءات بمحاكمة مزورة - بأدلة ضعيفة، وليس فقط الادعاء الكاذب بأن هيئة المحلفين لا تحتاج إلى الإجماع بشأن جرائمه.""",特朗普及其盟友加大对审判不公的暗示力度——证据不足，而且不仅仅是关于陪审团不需要就他的罪行达成一致的虚假说法。
"In 2016, Trump derided favors for donors. Today, he wants to make a ‘deal.’ The former president derided the “favors” politicians did for campaign cash back then, but today he bargains with his own favors.","""En 2016, Trump a raillé les faveurs pour les donateurs. Aujourd'hui, il veut conclure un 'accord'. L'ancien président a critiqué les « faveurs » que les politiciens faisaient pour l'argent des campagnes à l'époque, mais aujourd'hui, il négocie avec ses propres faveurs.""","""2016 verspottete Trump Gefälligkeiten für Spender. Heute will er einen 'Deal' machen. Der ehemalige Präsident verspottete damals die „Gefälligkeiten“, die Politiker für Wahlkampfspenden machten, aber heute handelt er mit seinen eigenen Gefälligkeiten.""","في عام 2016، سخر ترامب من تقديم الامتيازات للمتبرعين. اليوم، يريد عقد ""صفقة"". الرئيس السابق سخر من ""الامتيازات"" التي كان السياسيون يقدمونها مقابل الأموال الانتخابية في ذلك الوقت، لكنه اليوم يساوم بامتيازاته الخاصة.",2016年，特朗普嘲讽为捐赠者提供好处。如今，他想达成一笔“交易”。这位前总统当时嘲讽政客为竞选资金提供的“好处”，但今天他用自己的好处进行交易。
"Why a Trump lawyer’s prison reference was so ‘outrageous’, Trump lawyer Todd Blanche in his closing argument made a conspicuous reference to the jury sending Trump to prison. Not only are such things not allowed, but Blanche had been explicitly told not to say it.","""Pourquoi la référence à la prison par un avocat de Trump était si ‘scandaleuse’ : l'avocat de Trump, Todd Blanche, a fait une référence évidente au jury envoyant Trump en prison lors de son argumentation finale. Non seulement de telles choses ne sont pas autorisées, mais Blanche avait été explicitement averti de ne pas le dire.""","""Warum der Gefängnisverweis eines Trump-Anwalts so ‚empörend‘ war: Trump-Anwalt Todd Blanche machte in seinem Schlussplädoyer einen auffälligen Verweis darauf, dass die Jury Trump ins Gefängnis schicken könnte. Solche Äußerungen sind nicht nur nicht erlaubt, sondern Blanche wurde ausdrücklich gesagt, dies nicht zu erwähnen.""","""لماذا كانت إشارة محامي ترامب إلى السجن 'فاضحة' للغاية، حيث قام محامي ترامب تود بلانش في مرافعته الختامية بإشارة واضحة إلى هيئة المحلفين بإرسال ترامب إلى السجن. ليس فقط أن مثل هذه الأمور غير مسموح بها، بل تم إبلاغ بلانش بشكل صريح بعدم قول ذلك.""",特朗普律师为何提及监禁如此“离谱”：特朗普律师托德·布兰奇在结案陈词中明显提到陪审团将特朗普送入监狱。这种说法不仅不被允许，而且布兰奇还被明确告知不要这样说。
"Pro-Palestinian college protests have not won hearts and minds, Many Americans see antisemitism in them.","""Les manifestations pro-palestiniennes dans les universités n'ont pas conquis les cœurs et les esprits, de nombreux Américains y voient de l'antisémitisme.""","""Pro-palästinensische Proteste an Hochschulen haben keine Herzen und Köpfe gewonnen, viele Amerikaner sehen Antisemitismus darin.""","""الاحتجاجات الجامعية المؤيدة للفلسطينيين لم تكسب القلوب والعقول، وكثير من الأمريكيين يرون فيها معاداة للسامية.""","""亲巴勒斯坦的大学抗议活动未能赢得人心，许多美国人认为其中存在反犹太主义。"""
"RNC co-chair Lara Trump attacks Hogan for calling for respect for legal process, In a CNN appearance, Lara Trump doesn’t commit to having the Republican National Committee give money to Hogan’s run for Senate after his comment on the verdict.","""Le vice-président du RNC, Lara Trump, attaque Hogan pour avoir appelé au respect du processus légal. Lors d'une apparition sur CNN, Lara Trump ne s'engage pas à ce que le Comité national républicain finance la candidature de Hogan au Sénat après son commentaire sur le verdict.""","""RNC-Vizevorsitzende Lara Trump greift Hogan an, weil er Respekt für den Rechtsprozess fordert. In einem Auftritt bei CNN verpflichtet sich Lara Trump nicht dazu, dass das Republican National Committee Geld für Hogans Senatskandidatur bereitstellt, nachdem er sich zum Urteil geäußert hat.""","""نائبة رئيس اللجنة الوطنية الجمهورية لارا ترامب تهاجم هوغان لدعوته لاحترام العملية القانونية، وفي ظهور على قناة CNN، لم تلتزم لارا ترامب بتقديم اللجنة الوطنية الجمهورية أموالاً لحملة هوغان لمجلس الشيوخ بعد تعليقه على الحكم.""",共和党全国委员会副主席拉拉·特朗普抨击霍根呼吁尊重法律程序。在CNN节目中，拉拉·特朗普未承诺共和党全国委员会在霍根对判决发表评论后为其参选参议院提供资金。
"After Trump’s conviction, many Republicans fall in line by criticizing trial, Rather than expressing confidence in the judicial system, many Republicans echo Trump’s criticisms and claims of political persecution over his hush money trial.","""Après la condamnation de Trump, de nombreux Républicains se rallient en critiquant le procès. Plutôt que d'exprimer leur confiance dans le système judiciaire, de nombreux Républicains reprennent les critiques de Trump et ses allégations de persécution politique concernant son procès pour paiement de silence.""","""Nach Trumps Verurteilung schließen sich viele Republikaner an, indem sie den Prozess kritisieren. Anstatt Vertrauen in das Justizsystem zu zeigen, wiederholen viele Republikaner Trumps Kritik und Behauptungen politischer Verfolgung im Zusammenhang mit seinem Schweigegeldprozess.""",بعد إدانة ترامب، العديد من الجمهوريين يصطفون في انتقاد المحاكمة، بدلاً من التعبير عن الثقة في النظام القضائي، يردد العديد من الجمهوريين انتقادات ترامب وادعاءاته بالاضطهاد السياسي بسبب محاكمته المتعلقة بأموال الصمت.,特朗普被定罪后，许多共和党人纷纷批评审判，而不是对司法系统表示信心，许多共和党人附和特朗普对其封口费审判的批评和政治迫害的指控。
"News site editor’s ties to Iran, Russia show misinformation’s complexity, Hacked records show news outlets in Iran and Russia made payments to the same handful of U.S. residents.","""Les liens de l'éditeur d'un site d'actualités avec l'Iran et la Russie montrent la complexité de la désinformation. Des dossiers piratés révèlent que des médias en Iran et en Russie ont effectué des paiements à une poignée de résidents américains.""","""Verbindungen des Nachrichtenredakteurs zu Iran und Russland zeigen die Komplexität von Fehlinformationen, gehackte Aufzeichnungen zeigen, dass Nachrichtenagenturen in Iran und Russland Zahlungen an dieselbe Handvoll US-Bürger geleistet haben.""","""علاقات محرر موقع الأخبار بإيران وروسيا تُظهر تعقيد المعلومات المضللة، وتظهر السجلات المخترقة أن وسائل الإعلام في إيران وروسيا قامت بدفع أموال لنفس العدد القليل من المقيمين في الولايات المتحدة.""",新闻网站编辑与伊朗、俄罗斯的联系显示了虚假信息的复杂性，黑客记录显示伊朗和俄罗斯的新闻机构向同一批美国居民支付了款项。
"Dems weigh local ties, anti-Trump fame in primary for Spanberger seat, Eugene Vindman, known for the first Trump impeachment, faces several well-connected local officials in Virginia’s 7th Congressional District Democratic primary.","""Les démocrates évaluent les liens locaux et la notoriété anti-Trump dans la primaire pour le siège de Spanberger, Eugene Vindman, connu pour le premier impeachment de Trump, affronte plusieurs responsables locaux bien connectés dans la primaire démocrate du 7e district du Congrès de Virginie.""","""Demokraten wägen lokale Verbindungen und Anti-Trump-Ruhm in der Vorwahl für Spanbergers Sitz ab, Eugene Vindman, bekannt durch das erste Trump-Impeachment, tritt gegen mehrere gut vernetzte lokale Beamte in der demokratischen Vorwahl des 7. Kongresswahlbezirks von Virginia an.""",الديمقراطيون يوازنون بين الروابط المحلية والشهرة المناهضة لترامب في الانتخابات التمهيدية لمقعد سبانبيرجر، يواجه يوجين فيندمان، المعروف بدوره في أول محاكمة لعزل ترامب، عدة مسؤولين محليين ذوي نفوذ في الانتخابات التمهيدية للحزب الديمقراطي في الدائرة السابعة بفيرجينيا.,民主党在初选中权衡地方关系和反特朗普声誉，斯潘伯格席位竞争激烈，尤金·温德曼因首次特朗普弹劾而闻名，在弗吉尼亚第七国会选区的民主党初选中面临多位地方关系良好的官员。
"For Hunter Biden, a dramatic day with his brother’s widow led to charges, Six years ago, Hallie Biden threw out a gun that prosecutors say Hunter Biden bought improperly. His trial starts Monday.","""Pour Hunter Biden, une journée dramatique avec la veuve de son frère a conduit à des accusations. Il y a six ans, Hallie Biden a jeté une arme à feu que les procureurs disent que Hunter Biden a achetée de manière inappropriée. Son procès commence lundi.""","""Für Hunter Biden führte ein dramatischer Tag mit der Witwe seines Bruders zu Anklagen. Vor sechs Jahren warf Hallie Biden eine Waffe weg, die Hunter Biden laut Staatsanwaltschaft unrechtmäßig gekauft hatte. Sein Prozess beginnt am Montag.""","""بالنسبة لهانتر بايدن، يوم درامي مع أرملة شقيقه أدى إلى توجيه اتهامات، قبل ست سنوات، قامت هالي بايدن برمي سلاح ناري يقول المدعون إن هانتر بايدن اشتراه بشكل غير قانوني. تبدأ محاكمته يوم الاثنين.""",亨特·拜登与兄弟遗孀度过戏剧性一天后被指控，六年前，哈莉·拜登扔掉了一把检察官称亨特·拜登不当购买的枪支。他的审判将于周一开始。
